text,label
saw guys dolls last night patrick swayze great,0
nothing jus tot would ask cos ba gua went mt faber yest yest jus went already mah today going jus call lor,0
oh really make air whats talent,0
themobhit link get premium pink panther game new sugababes crazy zebra animation badass hoody wallpaperall free,1
new mobiles must go txt nokia collect today optout gbpmtmsg txtauction,1
easy ahsen got selected means good,0
oh charge camera,0
get lions england tone reply lionm mono lionp poly go original best tones gbp network operator rates apply,1
sort code acc bank natwest reply confirm ive sent right person,0
dont want hear philosophy say happen,0
dont make ne plans nxt wknd coz wants us come ok,0
prob send email,0
thankyou much call appreciate care,0
sch neva mind eat st lor,0
thk dun haf hint forum already lor cos told ron darren going tell shuhui,0
nice pubs near frankie bennys near warner cinema,0
cool tyler take gonna buy drop place later tonight total order quarter got enough,0
havent seen facebook huh lol,0
text youre way,0
thanks ringtone order reference number mobile charged tone arrive please call customer services,1
oh yeah forgot take shopping,0
shall book chez jules half eight thats ok,0
long since screamed princess,0
faith makes things possiblehope makes things worklove makes things beautifulmay three christmasmerry christmas,0
still around looking pick later,0
sthis increase chance winning,0
think da wil,0
ringtone club get uk singles chart mobile week choose top quality ringtone message free charge,1
dun need pick ur gf,0
private account statement shows unredeemed points call identifier code expires,1
brand new mobile music service live free music player arrive shortly install phone browse content top artists,1
alrite jod hows revision goin keris bin doin smidgin way wanna cum collegexx,0
sorry never hear unless book one kinda jokethet really looking skinny white girls one lineyou much camera something like theyre casting look,0
uncle checking rewarding month,0
went ganesh dress shop,0
oh mr sheffield wanna play game okay youre boss im nanny give raise ill give one,0
would fuckin believe didnt know thurs pre booked cancelled needs sacked,0
oh kkwhere take test,0
actually im waiting weeks start putting ad,0
sorry going home first daddy come fetch later,0
ok ill send ltdecimalgt ok,0
sounds like could lot time spent chastity device boy grins take beatings like good dog going lounge nice long bath,0
yep fine ice age,0
carlos says pick later yeah set,0
hi darlin kate doin somethin tonight im going pub called swan something parents one drink phone,0
ur chance win cash every wk txt action tscs custcare xpwk,1
morning ok,0
pls give food preferably pap slowly loads sugar take hour give water slowly,0
borrow ur bag ok,0
sorry ill call later,0
yo know anyone ltgt otherwise able buy liquor guy flaked right dont get hold somebody loko night,0
management puzzeles,0
well im desperate ill call armand,0
lmaonice,0
hi finally completed course,0
draw vai dont think,0
train back northampton im afraid im staying skyving today ho ho around wednesday though fancy comedy club week way,0
ok feel like john lennon,0
got ltgt,0
well must pain catch,0
know pls open back,0
yalru lyfu astne chikku bt innu mundhe lyf ali halla ke bilo marriageprogram edhae lyf nt yet ovr chikkuali vargu lyfu meow meowd,0
tried contact reply offer video handset anytime networks mins unlimited text camcorder reply call,1
sitting mu waiting everyone get suite take shower,0
marvel mobile play official ultimate spiderman game ur mobile right text spider game send free ball wallpaper,1
want anytime network mins text new video phone five pounds per week call reply delivery tomorrow,1
yeah worse,0
heard call rude chat private line cum wan pics gettin shagged text pix end send stop sam xxx,1
yo im parents gettin cash good news picked downstem,0
im person whos sms survey,0
room,0
plan manage,0
response one powerful weapon occupy place others heart always give response cares gud nightswt dreamstake care,0
ok lor anyway thk cant get tickets cos like quite late already wan go look ur frens darren wif,0
tell reached,0
talking thats de wont,0
hi kate evening hope see tomorrow bit bloody babyjontet txt back xxx,0
appt lttimegt fault dont listen told twice,0
ok let noe leave house,0
alright ill head minutes text meet,0
congrats mobile videophones call videochat wid ur mates play java games dload polyph music noline rentl bx ip,1
every day use sleep ltgt,0
uworld site buying qbank buying self assessment also,0
oh shut omg yesterday dream kids boys pissed kids boys even told mark dream changing diapers cause im getting owed face,0
mu try figure much money everyone gas alcohol jay trying figure weed budget,0
know people hit fuck yes,0
new textbuddy chat horny guys ur area free receive search postcode gaytextbuddycom txt one name rpl stop cnl,1
kkim also finewhen complete course,0
ok darlin supose ok worry muchi film stuff mate babysit call therexx,0
ok watching tv,0
somewhere fredericksburg,0
guys asking get slippers gone last year,0
thanx darlinim cool thanx bday drinks nite morrow take care soonxxx,0
life face choices toss coin becoz settle question coin air know heart hoping gudni,0
remember ask alex pizza,0
dnt worryuse ice pieces cloth packalso take tablets,0
shall call dear food,0
todays offer claim ur worth discount vouchers text yes savamob member offers mobile cs sub unsub reply,1
hes lag thats sad part keep touch thanks skype,0
real baby want bring inner tigress,0
hurt tease make cry end life die plz keep one rose grave say stupid miss nice day bslvyl,0
private account statement shows unredeemed points call identifier code expires,1
secret admirer looking make contact ufind rreveal thinks ur specialcall,1
hello darlin ive finished college txt finish love kate xxx,0
zoe hit im fucking shitin il defo try hardest cum morow luv millions lekdog,0
movie juz last minute decision mah juz watch lar tot interested,0
someone know asked dating service contact cant guess call revealed pobox lshb,1
compliments away system side,0
admin building might slightly earlier ill call im reaching,0
mmmmmm love youso much ahmad cant wait year begin every second takes closer side happy new year love,0
sad story man last week bday wife didnt wish parents forgot kids went work even colleagues wish,0
want sent ltgt mesages today thats sorry hurts,0
hello im bored inever thought id get bored tv tell something exciting happened anything,0
east coast,0
mean website yes,0
sorry completely forgot pop em round week still,0
thanx day goodmate think ur rite sary asusual cheered love franyxxxxx,0
congrats nokia video camera phone call calls cost ppm ave call mins vary mobiles close post bcm ldn wcnxx,1
wereare free give otherwise nalla adi entey nattil kittum,0
well shes big surprise,0
told going got drunk,0
dunno lei like dun haf,0
thanx lot ur help,0
havent heard anything hes answering texts im guessing flaked said jb fantastic,0
good good billy mates gone jogging enjoy concert,0
sim subscriber selected receive bonus get delivered door txt word ok claim pmsg exp apr,1
work week,0
neither sterm voice im studying fine sure thing resolved tho anyway fab hols,0
still grinder,0
problem baby good time talk called left message,0
im leaving soon little,0
last thing ever wanted hurt didnt think would youd laugh embarassed delete tag keep going far knew wasnt even fact even felt like would hurt shows really dont know messy wednesday wasnt bad problem time clean choose skype take pictures sleep want go dont mind things dont make bed throw laundry top cant friend house im embarassed theres underwear bras strewn bed pillows floor thats something else used good least making bed,0
think could stop like hour roommates looking stock trip,0
free msg sorry service ordered could delivered sufficient credit please top receive service,1
stuff sell ill tell,0
good day,0
text way cup stop work bus,0
sorry dude dont know forgot even dan reminded sorry hope guys fun,0
oh god im almost home,0
bbq sat mine ish ur welcome come,0
hmph go head big baller,0
alright ill make sure car back tonight,0
new local dates area lots new people registered area reply date start replys,1
done handed celebrations full swing yet,0
dont hesitate know second time weakness like keep notebook eat day anything changed day sure nothing,0
much would cost hire hitman,0
hiya hows going sunny africa hope avin good time give big old silver back big kiss,0
thats ebay might less elsewhere,0
ur cashbalance currently pounds maximize ur cashin send go pmsg cc po box tcrw,1
luton ring ur around,0
dont look back building coat dont want get sick hurry home wear coat gym,0
freeday sexy st georges day pic jordantxt pic dont miss every wk saucy celeb pics pocketbabecouk wk,1
better made friday stuffed like pig yesterday feel bleh least writhing pain kind bleh,0
hi birth lb oz mother baby brilliantly,0
got persons story,0
urgent mobile awarded bonus caller prize nd attempt contact call boxqu,1
knw dis ltgt,0
baskets gettin full might tonight,0
left dessert wan go suntec look,0
call senthil hsbc,0
give sec think think,0
winner specially selected receive cash award speak live operator claim call ampm cost,1
want kiss feel next,0
dont knw pa drink milk,0
eh remember spell name yes naughty make wet,0
im still looking car buy gone driving test yet,0
send yettys number pls,0
get ten billion calls texts help god,0
beautiful truth expression face could seen everyone depression heart could understood loved ones gud ni,0
call meet,0
jesus armand really trying tell everybody find,0
well know mean texting,0
sure driving reach destination soon,0
txting driving,0
lol oh got friend dog,0
think thanks see tomo,0
claim shopping spree call mobstorequizppm,1
anyway holla whenever youre around need excuse go creep people sarasota,0
hmmmstill dont opener,0
tadaaaaa home babe still,0
made day great day,0
famous quote develop ability listen anything unconditionally without losing temper self confidence means married,0
feel always happy slowly becomes habit amp finally becomes part life follow happy morning amp happy day,0
big god bring success,0
sorry left phone upstairs ok might hectic would birds one fell swoop date,0
cant believe attached seeing every day know best get babe go teach class midnight,0
wat time wan today,0
kkim going tirunelvali week see uncle already spend amount taking dress want moneyi give feb,0
yo howz girls never rang india,0
hey mate spoke mag people deliver end month deliver th sept talk later,0
havent lei next mon,0
hi darlin im way london smashed another driver big dent im really missing xxx,0
going sao mu today done,0
think two still need get cash def ready,0
also thk fast xy suggest one dun wan ok going rain leh got gd,0
thanks honey still havent heard anything leave bit longer crowd try later great advice thanks hope cardiff still,0
got like ltgt get later though get whatever feel like,0
wondar full flim,0
call number available appointment ask connect call waheed fathima,0
call didnt see facebook huh,0
send ur birthdate month year tel ur life partners name method calculation reply must,0
private account statement shows unredeemed points call identifier code expires,1
download many ringtones like restrictions choose even send yr buddys txt sir,1
happen dear silent tensed,0
oh brand,0
also ive sorta blown couple times recently id rather text blue looking weed,0
therell minor shindig place later tonight interested,0
nothing ever easy dont looking reason take risk life love,0
good morning repair shopthe reason im hour,0
secret admirer looking make contact ufind rreveal thinks ur specialcall,1
new message please call,1
darren saying dat meeting da ge den dun meet dinner cos later leave xy feel awkward den meet lunch lor,0
hey dont forget mine possession property mmm childish smile,0
darling sister whens school resuming minimum wait period reapply take care,0
keeping away like,0
someonone know trying contact via dating service find could call mobile landline boxskch,1
girl stay bed girl doesnt need recovery time id rather pass fun cooped bed,0
said mind go bedroom minute ok sed sexy mood came minuts latr wid caken wife,0
hide anythiing keeping distance,0
hows ur paper,0
sorry missed call please call back,0
hi decide wot get bday ill prob jus get voucher frm virgin sumfing,0
blankets sufficient thx,0
good baby,0
hey mr going sea view couple gays mean games give bell ya finish,0
wanna gym harri,0
know grumpy old people mom like better lying always one play jokes,0
wan come dinner tonight,0
solve case man found murdered ltdecimalgt ltgt afternoon wife called police police questioned everyone wife siri sleeping murder took place cook cooking gardener picking vegetables housemaid went post office children went play neighbour went marriage police arrested murderer immediately whos reply reason brilliant,0
congratulations ur awarded either cd gift vouchers free entry weekly draw txt music tncs,1
dont run away frm walk slowly amp kills dont care enough stop,0
new years eve ok went party boyfriend si hey,0
winner specially selected receive holiday flights inc speak live operator claim pmin,1
get class bsn like ltgt minutes know advising,0
got room soon hadnt put clocks back til shouted everyone get realised wahay another hour bed,0
eat shit wait ur monkey face bitch asshole,0
happened yo date,0
check got detailed message,0
bloody hell cant believe forgot surname mr ill give clue spanish begins,0
hi love goes day fuck morning woke dropped cell way stairs seems alright phews miss,0
oh fuck juswoke bed boatin docks slept wid year old spinout giv da gossip lr xxx,0
im working technical support voice process,0
bishan lei tot say lavender,0
come got nothing,0
sent scream moan bed princess,0
hi babe im home wanna something xx,0
yo sorry shower sup,0
sorry ill call later meeting thing related trade please call arul ltgt,0
time think youll need know near campus,0
hey mate hows honeydid ave good holiday gimmi de gossx,0
okay well thanks clarification,0
remember day,0
orh tot say still dun believe,0
doesnt class early tomorrow thus shouldnt trying smoke ltgt,0
friends use call,0
oh haha den shld went today gee nvm la kaiez dun mind goin jazz oso scared hiphop open cant catch,0
hmm thinking lor,0
thursday night yeah sure thing well work,0
message brought gmw ltd connected,1
oh ok prob,0
hey darlin pick college tell wen mt love pete xx,0
lol oh babe wont sliding place midnight thanks invite,0
freemsg hey darling weeks word back id like fun still tb ok xxx std chgs send rcv,1
free entry grprizes wkly comp chance win latest nokia psp cash every wktxt great,1
hello handsome finding job lazy working towards getting back net mummy wheres boytoy miss,0
thats way stay oh,0
private account statement shows unredeemed bonus points claim call identifier code expires,1
hey come online use msn,0
pandy joined technologies todayhe got job,0
yeah got apologetic fallen actin like spoilt child got caught till wont go badly cheers,0
think actually talk call boss morning went place last year told could go get car fixed cheaper kept telling today much hoped would come back always regretted getting number etc,0
mmmmmmm snuggles deep contented sigh whispers fucking love much barely stand,0
sunshine quiz win super sony dvd recorder canname capital australia text mquiz,1
jason says cool pick place like hour,0
good stuff,0
ki didt see youkwhere,0
happen tonight,0
baby promise treat well bet take good care,0
wheres boytoy miss happened,0
keep safe need miss already envy everyone sees real life,0
pls speak customer machan,0
ill head mins see,0
friends help us problems give stupid suggestion lands us another problem helps us forgt previous problem,0
please leave topicsorry telling,0
sorry sir call tomorrow senthilhsbc,0
ive got ten bucks jay noncomittal,0
oh get paid outstanding one commercial hasbroin august made us jump many hoops get paid still,0
mum going robinson already,0
thanks ringtone order ref number mobile charged tone arrive please call customer services,1
wait inside da car park,0
must sit around wait summer days celebrate magical sight worlds dressed white oooooh let snow,0
ill always even spirit ill get bb soon trying sure need,0
freemsg havent replied text im randy sexy female live local luv hear netcollex ltd per msg reply stop end,1
much willing pay,0
still around could use halfth,0
thanx,0
big chic common declare,0
well im gonna finish bath goodfine night,0
best ur driving tmr,0
shhhhh nobody supposed know,0
hii got money da,0
fineabsolutly fine,0
partys place usf charge contribute way greatly appreciated yeah got room one,0
oops mums somerset bit far back tomo see soon,0
actually nvm got hella cash still ltgt ish,0
love aathilove lot,0
idc get weaseling way shit twice row,0
hi babe thanks coming even though didnt go welli wanted bed hope see soon love kisses xxx,0
im coming back thursday yay gonna ok get money cheers oh yeah everything alright hows school call work,0
huh lei,0
hi kate lovely see tonight ill phone tomorrow got sing guy gave card xxx,0
rounderso required,0
switch fone dammit,0
sounds gd haha wah yan jiu fast liao,0
youre gonna way specific,0
one teach ship cars,0
tunde wishing great day abiola,0
nohe joined today,0
lol yeah point guess,0
way office da,0
well welp sort semiobscure internet thing,0
gud niswt drmstake care,0
find sitter kaitlyn sick slept day yesterday,0
umma say anything,0
sale arsenal dartboard good condition doubles trebles,1
keep payasam rinu brings,0
wiskey brandy rum gin beer vodka scotch shampain wine kudiyarasu dhina vaazhthukkal,0
havent lost ill always ui didnt intend hurt never knew felt iwasmarinethats itriedtell urmomi careabout,0
decided people care stuff vote caring stuff losers,0
really hows masters,0
stop however suggest stays someone able give ors every stool,0
ditto wont worry saying anything anymore like said last night whatever want ill peace,0
sound like manky scouse boy stevelike travelling da bus homewot inmind recreation dis eve,0
hey free call,0
love babe sure everything alrite idiot txt bak girlie,0
well boy glad wasted night applebees nothing,0
dont know exactly could ask chechi,0
whatsup dont want sleep,0
take care financial problemi help,0
water logging desert geoenvironmental implications,0
free st week nokia tone ur mob every week txt nokia get txting tell ur mates pobox wq norm ptone,1
anything lar going home dinner,0
doinghow,0
want finally lunch today,0
thought bout drink tap spile seven pub gas st broad st canal ok,0
nt driving even many reasons called bbdthts chikku hw abt dvg coldheard tht vinobanagar violence hw conditionand hw ru problem,0
liked new mobile,0
please call customer service representative ampm guaranteed cash prize,1
hey tell blakes address carlos wanted meet got lost hes answering phone,0
winner ave specially selected receive cash holiday flights inc speak live operator claim pmin,1
theyre lots places hospitals medical places safe,0
haiyoh maybe hamster jealous million,0
dont make life stressfull always find time laugh may add years life surely adds life ur years gud niswt dreams,0
goodmorning today late hr,0
never blame day ur life good days give happiness bad days give experience essential life gods blessings good morning,0
please tell car keys purse,0
might want pull case plan spending dont much confidence derek taylors money management,0
noe la wana pei bf oso rite lor days den,0
